Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
2,57,No,5,8,29.16
2,71,Yes,5,4,40.14
6,77,No,6,8,63.45
3,62,Yes,9,0,33.83
9,85,No,8,6,78.66
4,62,Yes,4,6,37.24
1,74,Yes,7,5,39.29
4,78,No,8,3,54.9
1,54,No,4,8,20.9
5,92,No,7,2,72.45
4,63,No,7,0,33.8
8,67,Yes,5,1,52.93
8,55,No,6,2,40.92
7,55,Yes,8,1,39.32
3,79,Yes,7,5,55.35
1,78,Yes,8,6,47.99
1,45,No,7,4,9.37
3,41,Yes,9,4,13.65
6,93,Yes,5,6,78.33
7,52,No,6,5,34.46
6,83,Yes,4,7,67.59
6,86,Yes,4,8,73.32
6,98,Yes,9,1,84.8
3,48,No,5,1,18.02
6,73,Yes,7,0,51.96
8,56,Yes,5,6,48.83
2,66,Yes,6,3,33.74
5,68,No,4,8,48.42
1,76,No,8,5,47.79
1,82,No,4,6,46.8
5,61,Yes,6,6,41.6
3,90,Yes,7,7,67.75
4,63,Yes,5,3,34.63
3,46,Yes,4,2,11.51
1,73,Yes,4,2,40.58
1,87,No,8,9,61.4
5,51,Yes,5,7,32.55
6,62,Yes,8,2,41.38
3,54,No,8,7,29.21
9,72,No,7,1,67.19
5,96,Yes,4,4,76.95
8,52,No,9,4,40.4
1,62,No,5,6,28.9
5,77,No,7,4,57.27
3,71,Yes,9,8,47.46
1,84,No,7,2,51.4
4,89,Yes,7,8,74.68
5,74,No,6,0,50.62
7,40,Yes,6,2,24.09
1,86,Yes,7,3,61.04
3,97,Yes,6,5,72.34
2,84,No,5,9,59.68
9,44,No,4,7,31.59
6,96,No,9,6,83.82
3,52,Yes,5,7,30.8
8,93,No,4,5,85.11
8,44,No,6,5,31.28
2,99,Yes,9,5,72.2
6,71,No,5,2,50.15
7,90,Yes,8,9,81.01
2,60,No,7,3,26.38
2,63,Yes,4,5,34.2
1,99,Yes,4,6,71.29
8,57,No,8,2,43.46
1,60,Yes,8,3,25.4
9,93,No,7,5,89.97
6,49,No,6,0,29.92
7,63,No,5,6,50.86
7,79,No,5,0,62.21
3,86,Yes,5,9,66.39
2,60,Yes,6,8,34.44
9,64,Yes,7,9,60.16
8,91,No,5,8,84.54
7,99,No,4,8,88.25
9,96,Yes,4,3,91.02
4,98,Yes,4,1,73.99
4,62,No,8,6,37.66
1,61,No,8,3,25.08
8,43,No,6,4,28.68
3,73,Yes,5,0,41.35
7,95,No,8,9,93.77
2,45,Yes,4,5,13.57
2,67,No,8,6,38.01
7,70,Yes,4,2,53.91
6,74,No,5,9,61.53
3,78,Yes,6,1,50.67
9,81,Yes,7,9,76.5
6,62,Yes,7,6,45.82
6,45,No,4,0,20.24
1,55,Yes,8,1,18.61
4,41,Yes,8,2,12.41
6,63,No,4,3,44.76
6,56,Yes,5,4,37.95
5,84,Yes,4,3,64.49
1,40,No,5,9,2.72
8,45,Yes,6,2,29.19
5,44,No,6,0,20.32
5,96,Yes,4,6,79.79
7,84,No,6,9,72.07
4,99,Yes,8,5,84.14
6,94,Yes,5,1,71.4
4,89,Yes,7,1,66.27
3,68,No,7,2,43.61
7,51,Yes,6,7,33.8
8,78,Yes,5,7,68.62
4,86,No,8,9,65.44
2,42,No,7,9,16.24
3,87,No,8,9,64.72
1,40,Yes,8,9,11.07
8,66,Yes,7,7,60.49
3,87,Yes,7,6,61.52
7,63,No,6,1,42.28
5,83,No,5,0,61.2
5,58,Yes,4,5,37.91
7,98,Yes,5,7,88.48
9,47,No,4,0,32.38
5,94,No,7,2,78.06
1,83,No,8,0,48.73
1,86,Yes,5,9,61.15
2,41,No,8,8,10.57
6,69,No,5,6,57.44
9,69,No,9,7,62.45
8,88,No,5,8,83.48
5,78,Yes,8,2,56.1
1,84,No,9,9,59.2
7,71,Yes,6,1,54.92
5,40,Yes,7,5,18.51
6,77,No,6,4,61.55
7,52,No,6,3,35.4
3,50,Yes,5,5,22.01
3,49,No,7,5,17.0
5,87,Yes,9,2,71.7
6,98,No,5,1,83.92
9,65,Yes,4,8,58.39
5,95,Yes,5,7,80.31
1,94,Yes,9,3,67.67
4,59,No,8,5,37.07
5,56,Yes,5,2,31.17
5,56,Yes,4,7,32.85
7,43,No,5,2,25.05
4,44,No,9,1,17.08
1,99,Yes,4,6,69.77
5,62,Yes,7,2,38.35
7,85,No,9,8,75.81
6,91,Yes,5,2,74.86
5,49,No,4,7,26.55
4,85,No,9,1,62.15
2,67,No,7,8,39.97
4,72,Yes,8,0,48.44
3,82,No,6,2,51.66
1,65,Yes,4,1,27.77
8,94,Yes,8,6,85.77
5,89,No,7,4,71.1
4,87,No,8,7,66.39
8,68,No,5,1,55.72
7,66,No,6,7,52.36
2,57,Yes,4,6,25.23
1,79,Yes,9,4,47.02
4,99,No,7,1,77.04
8,49,Yes,6,9,36.83
2,97,No,7,6,71.51
3,81,Yes,8,9,60.17
1,44,Yes,7,3,7.25
1,49,Yes,7,3,14.39
3,89,No,8,7,66.24
5,60,Yes,8,5,41.15
3,63,Yes,6,8,37.56
1,77,Yes,4,1,40.18
1,42,Yes,8,4,8.0
8,79,No,6,5,71.04
2,70,Yes,7,7,49.41
3,80,No,7,3,53.11
2,76,No,9,6,51.25
3,41,Yes,5,6,11.49
7,41,Yes,8,3,25.96
1,78,No,6,0,45.53
8,88,No,9,2,78.88
2,81,No,6,1,51.4
3,83,Yes,4,2,56.38
9,73,Yes,9,4,67.18
7,81,No,6,0,63.77
4,59,No,8,4,34.26
5,72,No,6,1,46.36
2,43,Yes,5,3,11.62
8,84,Yes,7,5,79.96
4,83,No,7,8,60.86
9,50,Yes,9,9,47.68
5,81,No,6,5,62.03
9,86,Yes,6,9,82.2
4,44,No,6,1,15.52
5,64,Yes,6,7,43.61
9,88,Yes,5,4,82.14
8,99,Yes,8,8,94.52
3,76,Yes,5,9,52.57
1,73,Yes,5,8,45.62
3,48,Yes,5,3,14.17
4,45,Yes,7,0,15.41
2,57,No,5,8,23.61
1,53,No,6,8,21.21
7,58,No,5,7,42.81
8,53,Yes,6,4,38.78
7,79,Yes,9,4,68.17
5,56,Yes,8,9,40.38
1,99,No,7,5,72.66
7,74,No,8,0,64.43
7,68,No,9,8,56.53
9,81,No,8,4,73.44
3,56,No,7,6,29.54
9,98,No,6,7,95.04
1,82,Yes,9,4,55.95
1,47,No,9,2,12.62
4,40,Yes,6,5,12.2
9,84,No,6,6,76.46
6,92,No,7,3,77.95
3,75,Yes,5,8,51.03
1,46,Yes,4,3,12.12
4,85,Yes,5,9,67.51
9,44,No,5,1,27.98
3,63,No,8,8,36.69
9,67,Yes,4,3,57.92
7,82,No,6,3,67.26
4,56,Yes,5,9,36.84
3,76,No,7,0,47.98
5,59,No,5,1,35.07
5,42,No,6,2,14.16
3,76,Yes,5,6,50.08
9,65,No,9,8,60.6
4,54,Yes,8,4,25.95
5,90,Yes,8,3,73.57
4,87,Yes,5,1,64.6
5,47,Yes,8,6,25.74
7,52,Yes,7,5,40.17
9,87,Yes,4,6,84.14
7,42,Yes,5,7,27.91
5,40,Yes,7,8,19.97
7,48,Yes,9,9,39.14
5,70,No,7,4,46.51
3,80,Yes,7,4,55.29
7,93,No,9,3,79.89
2,65,Yes,6,2,32.0
9,56,No,5,6,48.17
1,95,No,5,4,62.11
6,73,No,5,6,53.27
7,48,No,4,1,32.78
8,95,No,7,8,88.35
9,90,No,5,8,84.37
2,52,Yes,8,8,27.15
2,44,Yes,6,4,10.4
5,80,Yes,9,9,63.3
5,52,Yes,9,8,32.41
6,40,Yes,4,0,14.84
3,64,Yes,9,1,33.96
8,86,No,6,9,78.12
1,43,Yes,7,4,7.04
6,75,No,9,4,61.59
4,91,No,9,5,76.17
1,49,No,8,7,19.25
7,67,No,7,0,49.26
9,96,No,5,9,90.49
4,45,No,6,8,22.97
4,66,Yes,9,3,40.86
6,95,No,8,7,82.42
3,51,No,6,4,25.55
6,91,Yes,4,0,75.86
7,87,Yes,8,8,79.18
3,42,Yes,4,7,16.46
7,85,Yes,9,4,76.78
3,72,Yes,8,3,47.52
2,49,Yes,5,7,18.32
4,70,Yes,6,8,48.39
8,54,No,6,6,42.48
9,46,Yes,7,3,32.73
7,75,No,8,6,62.48
1,53,Yes,8,5,21.63
3,95,Yes,4,2,67.28
9,87,No,8,9,88.59
1,53,Yes,6,2,17.61
9,42,Yes,8,0,31.16
8,88,Yes,7,4,79.09
1,92,Yes,7,7,65.73
6,85,Yes,6,5,67.74
5,89,Yes,6,7,73.91
6,42,Yes,6,6,24.57
5,61,No,8,1,40.96
6,58,Yes,8,7,38.51
5,74,No,5,3,50.94
5,51,No,9,4,25.94
4,93,No,9,7,73.48
3,44,No,4,4,13.0
3,49,No,8,4,22.15
4,80,No,5,5,62.3
9,72,No,5,6,67.82
2,52,Yes,7,8,22.94
9,74,Yes,8,6,70.78
1,90,Yes,5,5,62.31
1,71,No,7,9,41.85
5,50,Yes,4,3,25.77
6,87,No,7,9,74.83
6,77,No,4,1,57.91
3,63,Yes,9,8,41.24
7,74,No,9,9,65.45
9,58,No,6,4,52.26
8,45,Yes,6,4,33.72
6,79,No,7,2,57.82
8,93,Yes,6,2,79.16
5,84,No,8,0,63.74
8,83,No,7,4,73.26
4,81,Yes,5,2,53.01
8,74,Yes,8,1,58.26
2,43,Yes,7,8,13.52
5,72,No,9,9,57.26
9,52,No,4,5,42.15
4,95,Yes,6,2,71.5
6,75,Yes,6,6,58.68
1,93,Yes,6,8,64.57
9,82,No,7,8,79.51
1,58,No,8,0,18.29
5,82,Yes,4,1,59.84
4,51,Yes,6,7,30.11
3,50,Yes,8,0,18.81
6,45,No,5,2,23.1
2,51,Yes,9,6,23.4
3,66,Yes,5,7,39.37
5,80,Yes,4,4,59.57
9,64,No,6,1,50.04
2,81,No,5,2,51.12
8,42,Yes,9,8,33.07
2,42,No,8,9,16.22
5,59,Yes,8,6,42.08
7,67,Yes,5,0,51.84
8,62,Yes,6,2,51.53
1,87,Yes,9,8,59.03
6,42,No,4,6,22.89
1,81,Yes,6,1,48.75
2,63,Yes,7,5,32.6
1,82,No,5,8,55.14
5,79,Yes,7,3,59.29
9,45,No,5,9,38.63
6,59,Yes,4,1,39.92
1,50,Yes,6,2,14.7
1,71,Yes,9,6,45.44
2,99,Yes,6,3,77.04
9,66,No,5,6,58.28
3,60,Yes,8,4,35.65
1,83,No,7,7,59.04
5,87,No,9,7,70.45
7,89,No,9,4,71.95
6,52,Yes,6,6,36.6
1,61,No,6,5,26.72
5,74,No,5,7,52.71
5,86,No,8,8,69.35
6,61,Yes,7,4,40.08
3,67,Yes,8,6,46.48
5,60,No,9,0,40.02
7,85,No,8,7,74.8
5,57,Yes,5,2,33.12
5,70,No,8,0,47.79
5,99,No,7,5,86.2
3,85,No,9,7,61.04
1,76,Yes,4,2,41.07
5,60,No,9,0,39.57
9,53,No,4,2,39.69
1,64,Yes,7,4,29.39
3,66,No,9,7,42.73
4,79,Yes,9,8,57.22
1,99,Yes,9,8,74.68
1,99,Yes,9,3,69.65
8,62,No,5,7,52.82
2,70,No,6,4,38.37
8,86,No,9,2,77.38
7,99,No,5,4,87.46
2,68,No,7,1,33.43
6,86,No,9,5,70.28
6,69,No,8,0,52.07
3,90,No,9,5,69.51
2,65,Yes,9,4,32.71
1,59,No,4,8,25.55
6,77,No,8,6,63.3
5,58,Yes,9,5,40.01
9,66,No,9,6,60.94
1,64,Yes,9,9,36.76
7,79,No,5,4,64.11
5,77,No,7,0,54.95
5,91,Yes,4,8,72.73
2,62,Yes,9,4,32.37
3,68,No,7,3,36.03
7,54,Yes,4,5,35.72
6,98,No,4,4,80.32
2,42,No,4,0,3.16
6,49,No,9,1,30.13
2,54,No,5,3,17.52
2,95,No,9,7,69.89
2,55,No,9,4,26.31
3,56,Yes,7,6,27.18
2,58,Yes,6,1,27.76
4,50,Yes,6,7,27.17
9,87,No,6,4,82.01
6,44,Yes,7,3,21.91
1,44,No,8,8,10.37
8,97,Yes,7,5,89.92
7,53,No,4,3,36.69
3,89,No,9,7,69.49
1,65,No,8,2,31.7
5,47,No,4,9,25.97
4,44,No,9,1,15.1
8,46,Yes,9,6,37.97
1,55,No,4,3,17.65
1,94,Yes,7,3,60.26
4,53,No,6,9,28.91
8,76,No,8,8,67.67
5,95,No,9,1,75.49
2,80,Yes,5,0,47.87
6,43,No,9,6,22.58
5,75,Yes,6,7,56.46
2,87,No,9,2,58.0
3,95,Yes,5,1,68.01
9,56,Yes,7,3,44.89
7,86,Yes,9,1,78.49
7,75,No,8,1,59.08
6,45,No,7,4,23.97
8,55,Yes,5,9,43.31
4,68,No,4,4,44.54
8,75,No,9,7,63.84
4,77,No,7,8,53.43
8,76,Yes,9,1,65.08
9,87,Yes,8,0,80.18
3,96,No,9,2,71.65
3,87,Yes,7,5,68.04
2,49,No,6,4,15.55
3,80,No,7,7,56.12
3,75,Yes,5,7,50.67
5,68,Yes,7,1,46.0
5,53,No,8,8,34.18
2,43,No,7,3,9.48
6,83,No,7,0,61.46
5,95,Yes,8,1,77.77
6,81,Yes,7,5,68.46
1,75,No,8,4,42.32
5,89,No,5,6,71.08
9,84,Yes,8,8,85.11
2,52,No,5,5,18.57
1,85,Yes,5,5,54.55
9,57,Yes,8,1,46.97
9,72,No,7,6,69.43
9,60,No,9,1,54.11
6,55,Yes,6,6,39.55
8,54,No,9,7,52.45
1,93,Yes,8,0,60.91
4,96,Yes,7,8,69.09
1,44,Yes,5,7,9.15
8,45,No,4,8,31.87
1,77,No,6,4,47.9
3,42,No,9,3,12.51
4,87,Yes,7,0,65.95
8,51,Yes,6,8,42.85
6,75,Yes,4,3,57.3
7,72,Yes,4,3,57.34
8,75,No,4,3,62.96
2,72,No,9,1,43.97
8,70,No,8,3,58.37
3,60,Yes,6,1,29.48
7,66,Yes,8,7,55.76
3,66,No,4,6,39.43
7,47,Yes,7,9,34.35
2,95,No,4,1,69.05
6,76,Yes,8,1,59.95
3,71,Yes,4,1,40.19
3,65,Yes,4,0,35.36
9,41,Yes,8,5,29.95
7,51,Yes,8,5,34.31
5,61,No,7,0,38.65
7,56,No,8,0,36.25
9,46,No,7,5,36.55
1,82,Yes,5,5,48.51
7,43,No,5,3,23.76
6,76,No,8,2,57.63
9,77,Yes,4,8,71.67
1,71,Yes,6,5,44.21
4,50,No,4,0,22.85
9,40,No,8,2,27.91
4,64,No,7,0,36.64
3,81,No,4,2,51.1
9,91,No,5,1,79.92
2,63,Yes,9,4,33.96
4,92,No,8,2,72.93
6,82,No,4,6,59.13
2,95,No,9,7,73.52
8,56,No,4,6,46.06
8,47,No,7,1,26.85
1,98,No,7,9,71.98
3,84,Yes,7,9,62.26
9,66,Yes,9,6,60.52
5,91,Yes,6,9,77.13
6,57,No,9,2,38.81
4,66,No,8,6,41.23
2,61,Yes,8,0,32.17
8,55,No,5,1,38.26
6,41,No,5,9,29.22
5,44,No,8,0,16.58
9,57,Yes,4,8,47.47
1,42,Yes,8,1,5.95
5,66,Yes,6,1,45.14
6,93,No,5,5,80.77
5,56,Yes,5,6,33.1
6,55,Yes,9,1,34.98
6,45,Yes,5,3,28.11
7,90,No,8,2,76.35
4,46,Yes,5,4,21.58
8,89,Yes,5,8,78.4
7,53,No,9,1,32.55
9,77,Yes,8,4,73.16
7,79,No,4,7,66.25
3,54,No,5,5,27.2
3,86,Yes,5,3,58.6
8,86,Yes,5,9,76.34
5,87,Yes,6,7,70.98
4,72,No,8,2,44.87
8,82,Yes,5,3,71.42
6,66,Yes,6,8,49.31
2,68,Yes,4,4,38.61
4,96,No,4,5,73.95
4,76,No,9,1,51.47
6,44,No,9,8,28.89
6,68,Yes,9,7,56.51
1,71,Yes,6,6,40.29
8,99,No,4,8,96.42
6,92,Yes,9,4,82.6
3,45,Yes,7,4,14.93
9,41,No,9,8,31.74
2,45,No,4,4,8.55
8,85,No,7,8,82.57
3,82,Yes,6,0,51.22
5,43,Yes,7,9,23.3
6,95,Yes,4,9,83.17
6,68,No,5,7,55.7
4,98,No,7,2,73.26
3,64,Yes,4,7,40.46
4,48,No,9,4,23.43
1,95,No,5,1,61.39
4,42,Yes,6,8,18.61
1,65,No,6,3,28.98
1,87,Yes,8,6,57.71
6,82,No,6,7,66.24
5,66,Yes,8,6,45.02
4,75,No,6,5,49.81
3,71,Yes,6,6,48.72
1,40,No,6,3,2.13
6,96,No,8,9,87.27
2,92,No,9,0,62.45
8,93,No,8,4,84.63
5,55,No,7,7,35.23
7,90,Yes,4,9,82.34
2,87,Yes,4,5,57.4
8,50,Yes,9,4,38.29
2,65,No,4,1,33.1
4,79,Yes,6,9,62.65
1,94,No,9,4,68.12
5,40,No,4,9,16.61
9,65,Yes,8,2,54.92
1,67,Yes,7,1,31.9
9,92,No,5,2,81.15
8,97,No,7,3,90.13
6,48,Yes,4,1,25.99
7,99,Yes,9,3,88.57
3,98,No,4,3,74.42
1,83,No,8,5,51.27
5,61,Yes,7,4,42.84
2,47,No,8,6,20.81
5,97,No,8,6,82.27
8,88,Yes,5,2,77.03
9,81,Yes,8,8,78.77
2,66,No,8,6,34.95
3,78,No,5,6,52.36
3,58,Yes,6,1,32.6
1,64,No,6,9,38.46
8,77,Yes,9,2,67.19
6,60,No,5,2,38.13
8,63,Yes,9,5,55.97
9,63,No,9,3,54.75
5,99,No,8,3,83.67
3,99,No,9,0,72.07
5,58,Yes,4,5,36.89
5,89,Yes,7,7,72.72
5,86,Yes,4,7,68.61
3,41,No,4,7,10.87
4,53,No,8,4,28.09
9,92,Yes,7,9,91.42
9,71,Yes,9,5,67.2
2,81,No,7,4,52.22
8,71,No,9,3,63.72
8,67,No,6,3,51.74
7,87,No,5,3,69.73
8,78,Yes,8,3,67.0
3,79,Yes,9,5,55.83
6,81,No,9,5,70.38
1,86,No,7,4,54.57
7,79,No,8,8,67.34
1,52,Yes,9,7,19.8
9,51,Yes,6,9,45.11
1,47,No,4,5,8.69
1,54,No,9,8,27.83
7,65,No,7,4,45.36
2,51,No,6,9,20.9
5,82,No,8,3,61.59
8,90,No,9,5,80.87
8,85,Yes,6,3,76.46
3,66,Yes,6,7,39.9
7,57,Yes,6,6,44.49
3,84,No,6,4,61.93
6,75,No,6,9,64.26
6,88,No,6,5,73.33
3,90,Yes,5,6,66.6
7,66,No,8,1,51.85
3,48,Yes,4,8,20.51
8,94,No,8,6,86.56
4,78,No,7,7,55.52
1,40,No,7,4,4.83
4,46,Yes,8,2,17.43
7,65,Yes,6,1,46.76
4,46,Yes,5,1,22.04
6,91,No,4,2,74.52
9,46,Yes,9,0,35.27
1,47,No,9,0,8.43
5,55,No,6,6,35.83
7,42,Yes,8,9,27.58
1,84,Yes,9,7,53.23
4,49,No,8,5,23.5
6,89,No,5,6,71.71
2,46,No,5,0,10.94
5,60,No,8,0,37.12
1,92,Yes,6,8,65.06
6,76,Yes,6,4,60.82
6,70,Yes,6,6,55.56
4,62,No,9,5,38.12
8,96,No,4,3,86.59
4,66,No,4,0,38.41
8,95,Yes,6,3,84.69
8,61,No,8,9,52.59
5,78,No,5,9,63.09
4,96,Yes,7,7,75.25
2,66,Yes,5,0,33.29
3,93,No,5,1,65.46
3,88,Yes,7,7,66.11
4,43,No,6,1,13.48
4,63,Yes,5,9,43.0
5,62,No,7,8,40.41
4,87,Yes,9,2,66.12
8,58,Yes,8,2,43.18
6,81,Yes,8,5,69.1
6,42,Yes,8,2,18.73
8,66,No,6,8,51.87
7,42,No,5,7,22.5
8,67,Yes,5,3,54.45
2,56,No,4,5,20.71
9,70,Yes,8,7,62.65
1,49,Yes,6,3,11.86
8,88,No,7,4,80.17
4,61,No,6,6,35.97
4,69,No,5,7,46.24
5,88,No,8,6,71.15
8,60,No,4,7,45.54
5,75,No,9,3,56.5
8,92,No,6,0,84.9
1,62,Yes,4,5,24.39
9,77,No,5,4,66.99
6,51,Yes,7,3,28.93
3,64,No,6,1,33.75
8,93,No,9,0,79.48
9,96,Yes,5,8,96.14
6,59,Yes,8,1,42.7
7,88,Yes,6,8,80.36
1,88,Yes,4,5,58.94
5,81,No,6,5,62.38
5,46,No,5,1,22.37
4,68,Yes,5,5,44.01
6,87,Yes,4,2,68.0
7,68,No,9,6,57.76
9,52,No,5,9,44.13
1,42,Yes,6,3,10.33
6,41,No,9,8,27.14
7,55,No,4,4,36.64
3,69,Yes,5,9,45.22
8,77,Yes,5,2,64.58
5,45,Yes,6,0,17.6
9,84,Yes,5,0,76.22
5,46,No,6,3,20.09
9,44,Yes,8,9,38.05
4,95,No,9,9,77.3
9,46,No,6,3,33.27
